ENTITY, TYPE, COUNT
geledingen die in alle eenheid schuilgaan,MISC,2
geduldig te verhullen wat nog komen moet,MISC,2
Course conducted in English and Swedish,MISC,2
Conseiller pour les Programmes d'aide internationale,MISC,2
kan anvandas i tur och ordning,PER,2
Harry blir besparad ett varre uppvaknande senare,MISC,2
Jag vidtog intet av alla dessa,MISC,2
The first subject of discussion was:-,MISC,2
MEETING OF THE GENERAL ASSEMBLY     ,MISC,2
Director de la Escuela de Diseno,MISC,2
El fomento de tales mercados por,MISC,2
Public opening of the glass studio,MISC,2
Researches for a very smal egg,MISC,2
Visit to Harvey LITTLETON in MADISON,MISC,2
is known as The Archives of,MISC,2
Amerika waar hij vier maanden zal,PER,2
Deze zal een of meerdere goedkope,MISC,2
die men in tal van landen  gebruikt,MISC,2
De Volkskrant een geweldig succes had,MISC,2
George B. & Dorothy R. Saxe,PER,2
Vicki & Gary Glant  Mr. & Mrs,MISC,2
Nat & Fay Page  Benson & Francine,MISC,2
B.Coronel  N. de Laaf  R. van der Land  S.Valkema  ,MISC,2
No.14 in de werkplaatsen van de ,MISC,2
vertegenwoordigd in onze vakgroep fotografie GKF,MISC,2
planten zijn op een andere academie,PER,2
een totaal schone lei wordt begonnen,PER,2
ring van de afdeling noodzakelijke voorkomen,PER,2
werkorgaan van de Vereniging van Vrienden,PER,2
As responible for the new building,MISC,2
benaming reeds in het jaar 1927,MISC,2
Corning Museum of Glass georganiseerd werd,MISC,2
flinke hoeveelheid heet glas op een,PER,2
Heating up time of snealing oven,MISC,2
wij in het Westen er dus goed,MISC,2
teksten van de bijsluiters van de medicijnen,PER,2
gebruik moet staken of de arts,PER,2
What doe you think of him ,MISC,2
Aliens from Planet Ocean 21.30 Only,MISC,2
die in Form von Scherben bzw,MISC,2
Instituut van de Rijksuniversiteit in Leiden,PER,2
Hierbij heeft men een homogene verdeling,MISC,2
Hierbij doet zich de moeilijkheid voor,MISC,2
President of the Austrian Crafts Council,MISC,2
many glasses of extremely interest and very,MISC,2
van de funkties van de beeldende,PER,2
nou is ’t weer in orde,MISC,2
Docenten die zowel in dag- als,ORG,2
Hij moet werken in een beperkte,MISC,2
Lehrer der modernen Glaskunst in den,LOC,2
nicht nur die Werke als Zeugnisse,PER,2
Director of Design bei Blenko Glass,MISC,2
King’s Hotel Marquis & Duke Room,PER,2
Add water to dry material only,MISC,2
Brown Fused Alumina Abrasion and slag,MISC,2
use a very thin layer of,MISC,2
Neder- landse Opera aan een nader onderzoek,MISC,2
The icy beauty of the 30-,ORG,2
sig i hér- net av St. Eriksgatan,MISC,2
battringar har dragit in i fyra,PER,2
van het glas zodanig zouden beinvloeden,PER,2
Art Collections of the Veste Coburg,ORG,2
rijden om een kélein proefoventje te,MISC,2
Absatz 22 UStG nicht der MWSt,MISC,2
anstaltungen und die Anmietung von Infotischen,LOC,2
Has the object appeared in print,MISC,2
Blaricum te komen voor een werkperiode,MISC,2
projekten van ruimtelijke ordening worden uitgebreid,PER,2
die u reeds in bezit heeft,MISC,2
Boda is now in full bloom,MISC,2
Cynthia Stroum Meagher  Babo & Xie Olanie,PER,2
aankopen van of opdrachten aan kunstenaars,PER,2
does coloured wood cuttings and works,ORG,2
van het Dept.of Ceramics and Glass,PER,2
Bryant R. Dunn Dr. and Mrs,PER,2
Andrew S. Faas Mr. and Mrs,PER,2
Betty J. Felton Mr. and Mrs,PER,2
Payment within 14 days of invoice,MISC,2
iemand in staat moet worden geacht,MISC,2
D-6000 Frankfurt 1     Anmeldung zur Mitgliedschaft,ORG,2
Ort Unterschrift     Wird von der DGG,ORG,2
is zowel voor dag- als avondonderwijs,LOC,2
salaris voor de lessen die na 18.00,PER,2
van de nacalculatie van de trend,PER,2
This is mandatory of Design students,MISC,2
For those who wish to pursue,MISC,2
D-8377 FRAUENAU     Am Museumspark 1  D-8377 FRAUENAU,ORG,2
tafel voortbewogen rol uitgewalst op een,PER,2
gen van een goed inzicht in,PER,2
van gegoten glas zijn weer zand,PER,2
van de toestand van de smel-,PER,2
zodat het donkerder van kleur zal zijn,PER,2
van het kunstwerk is 6 meter,MISC,2
luchtstrijdkrachten in die van de Nato,MISC,2
Aftrekbaar bij betaling binnen 3 weken  ,MISC,2
As the study of art has,MISC,2
great store to contacts with society,MISC,2
Miss Lee and the many guests,ORG,2
verantwoordelijkheid op zich te willen nemen,PER,2
Huizen + de heer R. Dirks,LOC,2
we wish all of our mem- bers,MISC,2
het gevaar bestaat dus bij een,PER,2
Zich plotseling bewust van de invloeden,MISC,2
er volgden meer specialismen die meestal pas,LOC,2
Bankrekening 48.28.25.286 Giro 9200 18 t.n.v,MISC,2
free glass one man glass exh,MISC,2
New York to the west coast  Ferguson,ORG,2
Will go sport fishing if weather,MISC,2
Besluit van 15 October 1880 No,PER,2
Léb als nieuwe docenten hartelijk welkom,ORG,2
Bert van Loo werken in glasvormcentrum,PER,2
Dan de bewerking van de ontstane,PER,2
Metropolitan Museum of Art and the,LOC,2
with the education of the public,MISC,2
should not be asked to collate,ORG,2
Mr. R. CARLINE in the chair,MISC,2
painting alone and artists had to teach,ORG,2
Wibautstraat would now be much too,PER,2
the information given here and prices,MISC,2
D. Dictionary of British Antique Glass,MISC,2
S. A Background for Glass Collectors,MISC,2
G.B. English Glass for the Collector,PER,2
jaren van de bouw van het,PER,2
om plaats te maken voor een,MISC,2
due to the principal and give,MISC,2
grondstoffen in het glas ingevoerd worden,MISC,2
glass designers and the glass industry,ORG,2
Katalog sowie zusatzliche mundliche oder schrift-,MISC,2
In de praktijk worden dan ook,MISC,2
die als onderdeel van de studie,MISC,2
Now if you want to make,MISC,2
I think is the copper red,MISC,2
een waarde van vijfentwintig gulden aankopen,PER,2
Imperial College of Science & Technology,ORG,2
COPENHAGEN AT THE SCHOOL OF ART,MISC,2
from nearly all over the world,PER,2
welke persoon of personen wij U aanbevelen,PER,2
kunnen op grond van een zekere,PER,2
Neon as a light source is unique,MISC,2
Royal College of Art in Lon- don,ORG,2
will be considered by the Academic Council,PER,2
lessen toe te spitsen op deze jaren,MISC,2
toegespitst zijn op bepaalde keramische deelgebieden,PER,2
definitieve keuze van de onderwerpen als,PER,2
grafische aspecten in de grafische sector,MISC,2
beter door hun in te vullen,MISC,2
Poteries is one of the major  ,ORG,2
one or several particular glassworking techniques,MISC,2
Soweit die Exponate als verkauflich gelten,MISC,2
Switzerland is one of the most,MISC,2
The neatly patterned vineyards appearing to,MISC,2
| acknowledge the love of good,MISC,2
didaten van het Instituut voor Kunstnijverheidsonderwijs,PER,2
zal in het algemeen ongewenst zijn,MISC,2
The Corning Museum of Glass and,ORG,2
dan naar één van de boven,PER,2
gram                 ,PER,2
weer die ellende van (= docenten,MISC,2
tijd na het beéindigen van hun,MISC,2
waarin ook het bereiken van het,PER,2
sterker nog dan in het dagonderwijs,MISC,2
zicht in de ontwikkeling van kultuur,MISC,2
Please write in with full resume,MISC,2
Want daarnaast zijn er nog een,MISC,2
Goedlopende leningen nemen wij gaarne over,ORG,2
wordt hier op een rijtje gezet,PER,2
yoltrekt zich een verandering in hem,PER,2
with the principal work of painting,MISC,2
the objective study of nature is only,MISC,2
linked with the problems of living,MISC,2
The report of this session would,MISC,2
other than the country of departure,PER,2
The School of Arts and Crafts,MISC,2
Continue on reverse side if necessary,MISC,2
the E glass composition and the only,MISC,2
This is helping your colors because,MISC,2
We just like the 475 better,MISC,2
Gerrit Rietveld Academie kon worden uitgereikt,PER,2
uur in de aula aanwezig te zijn,MISC,2
Al1 India Handicrafts Board",New Delhi India,MISC,2
enjoying their play with the hot glass,MISC,2
Application must be postmarked no later than,MISC,2
ontstaat er een spel van schaduwwerking,PER,2
Midden in het hart van Doesburg,MISC,2
The glass artist needs to have,ORG,2
Anthony V. Garton of the Bergstrom,PER,2
The popular name for sodium sulphate is,ORG,2
Salt cake will spill out of,MISC,2
snelheid van deze draaiing is regel- baar,PER,2
rol voorzien is van dicht naast,PER,2
use of hand and power tools,MISC,2
ter voorbereiding voor  het maken van werktekeningen,ORG,2
Membership Form     If you are already,MISC,2
of regional organization and craft committee activity,ORG,2
in the affairs of the Council,MISC,2
TIJDELIUKE BIJDRAGEREGELING PROVINCIALE BEVORDERING BEELDENDE KUNST  ,MISC,2
During the driest summer in 100 years,MISC,2
Special arrangements for those staying more,MISC,2
compressed air for air brush work,ORG,2
the funding for students’ assistance in 1985,MISC,2
per day helping in the kitchen,MISC,2
Pilchuck are shown in the Lodge,MISC,2
Dé promotor van het Vrije Glas,MISC,2
studieverklaring over het vrijwillig 5e jaar,MISC,2
Dr. J. A. A. van Doorn,PER,2
Victoria and Albert Museum in London,MISC,2
Linkages can be made with similar,MISC,2
Regierung von Senegal und der Gesell-,PER,2
Die Ziele waren: kulturelle Bande zwischen Afrika,MISC,2
Kunst in der Welt der Gegenwart,MISC,2
We hope that others will find,MISC,2
Het zou een groot komplex worden,MISC,2
ten Oosten van de Aegeische Zee,MISC,2
I am working also with van,MISC,2
Discovering the Life of the Imagination,MISC,2
having both precise detail and controlled form,PER,2
Decoration on Glass  KeKe Cribbs and Patrick Wadley,MISC,2
In the past several years they,MISC,2
Onderzoek naar de meest geschikte ruimte,MISC,2
daar heb ik van genoten hoor,MISC,2
grote uitvoeringen die hier ook zijn,PER,2
waarin kunst van de be- treffende kunstenaars,PER,2
Ans Zaal van de Gemeente Blaricum,MISC,2
weerslag van de afgelo- pen drie jaar,PER,2
van harte welkom op de vernissage,PER,2
Zijn werk werd tentoongesteld in Europa,MISC,2
The centers of the faces of,ORG,2
Course Title Instructor Course Title Instructor,MISC,2
jaar de technieken voor het boren,PER,2
Insurance needs in one convenient stop,MISC,2
Het aankoopbeleid wordt gericht op het,PER,2
Wettbewerb in zwangloser Folge zu wiederholen,MISC,2
European figures and Imari chargers from ,MISC,2
Although stress will be on processes,MISC,2
zijn werk loopt in elkaar over,MISC,2
moucheté de vert et de rose,PER,2
H. Ben Tré  aidé par V. Monod,PER,2
laisse une grande place a |’inat- ,LOC,2
dessins plus techniques en affinant les lignes,ORG,2
Le verre est coulé a grandes louches,LOC,2
wat melk- glas of opaalglas precies is,LOC,2
awareness of the isolation of craftsmen,MISC,2
en calidad de arquitecto de la ,LOC,2
Director del Museo de Actividades Artesanales Contemporaneas,LOC,2
femmes chez elles et a I’héritage culturel,LOC,2
La promotion de l’artisanat devrait se ,MISC,2
van glasbuis wordt verstaan een werkwijze,PER,2
een variant is van een werkwijze,MISC,2
Het verschil met de bekende werkwijze,MISC,2
van de rechtheid van de gekalibreerde,PER,2
de hartlijn van de glasbuis te,LOC,2
een uitspa- ring van het plateau past,LOC,2
gaan of staan Zij los van elkaar,MISC,2
The entire door system requires the following,MISC,2
Le Corbusier en Mies van der Rohe,PER,2
Daardoor zou bij een buitenstaander de indruk,PER,2
la pate de verre a un,LOC,2
proceeds to go to the film maker,MISC,2
CCAC students entering their junior year,ORG,2
Dean of the Minneapolis School of Art,MISC,2
Issue 20 on are $6.50 each,MISC,2
vormgeving van de vereniging instituut voor,PER,2
The group of not more than 10,MISC,2
van het door hen vervaardigde ontwerp,PER,2
het definitieve ontwerp en de daarbij,ORG,2
Aan de nieuwe abonnees op de jaargang,PER,2
held during the first week of ,MISC,2
Met de leerlingglasmakers doet hij zijn,PER,2
bij de ad- ministratie van de Vaart,PER,2
the Straits of Juan de Fuca,ORG,2
Personal exploration and experimentation will be encouraged,ORG,2
tuitions supply approxi- mately one-third of Pilchuck’s,PER,2
Bij goede bewerking een vruchtbare strook,PER,2
Bienal de Sao Paulo de los artesanos,LOC,2
torches dans les ruines Inca de Parachuco,LOC,2
Reliure au prix de deux dollars,MISC,2
Personal belongings and not for sale,MISC,2
Centre du Verre et destinée aux chercheurs,LOC,2
een bezoek aan de werkplaats glas,PER,2
projets de recherche appliquée ou fon- ,ORG,2
Vi har netop nu et stort,MISC,2
We've sort of covered the irons,MISC,2
but I'm pretty sure you could,ORG,2
four ingredients and then you add,ORG,2
of cadmium and you add a,MISC,2
a tin can outside will do,MISC,2
het kader van de vrije en/of,MISC,2
at blive paavirket af hans syg- dom,MISC,2
Inhouding Inhoudingen Netto Wijze van betaling ,ORG,2
Praag op de glasopleiding bij Libensky ,LOC,2
Tjechoslovakije heeft en de wijze waarop,PER,2
America at Columbia University and immediately ,LOC,2
At that time the education in Sweden,MISC,2
Randi Solen and the GAS advisory board,PER,2
Information was scarce and hard to come,MISC,2
becoming aware of their personal subject ,MISC,2
the art programme originally developed as,MISC,2
To get entry into the school,MISC,2
I take them entirely on their work,MISC,2
For this thing we need artists,MISC,2
referring to the variety of systems,MISC,2
dat aan de eisen zou voldoen,PER,2
who has sustained his initial per- ,MISC,2
this younger ceramist from the north- ,MISC,2
The result is a line of,MISC,2
respected as one of the major ,MISC,2
are masterfully crafted and noted for ,ORG,2
Shrine to the Basket is a weaver,MISC,2
All rooms are heated and furnished,ORG,2
be open for conferees to visit,MISC,2
Lid van de Raad van State,PER,2
fours de fusion et de recuisson,ORG,2
het algemeen grafisch jaar gaat om ,LOC,2
Het Groninger Museum wil met deze,LOC,2
van de Hoge Raad van het Gulden,PER,2
de legende van de koningin van Sheba,LOC,2
de plaats inneemt van de regels,PER,2
Aan de lastenkant bleven de totale,PER,2
WERKPLAATSASSISTENTEN                 ,MISC,2
zou volgens de mening van gedaagde,PER,2
Although you will be told more,MISC,2
Een schaal van de zuiverste vorm,PER,2
Het werk van Marijke de Goey,PER,2
Paul Hefting & Antje von Graevenitz,ORG,2
Centro Cultural de la Caixa de Pensions,ORG,2
Marktstraat 11  En bij de navolgende agentschappen,MISC,2
aan de hoeken van de delta,MISC,2
stond en hoe ik met inzicht,MISC,2
hij zijn avondles- sen aan de Academie,PER,2
het Museum Boymans - van Beuningen,LOC,2
D-3432 Grossalmerode Bezirk Kassel - Postfach,ORG,2
hetzij om hulp bij het beéindi- ,MISC,2
zijn te gering om de be- ,MISC,2
a nombre de World Crafts Council,ORG,2
dat voor elk aanplakbiljet een bepaald bedrag,LOC,2
met de karakteristieke eigenschap van de wetenschap,PER,2
een belangrijke rol zal gaan spelen,PER,2
De instelling van het jonge gedeelte,MISC,2
Bewdley’s market declined in the late ,MISC,2
the Museum and visitors can some- times see,LOC,2
a été élevé dans la verrerie,ORG,2
waarnemer van de afdeling Internationale Culturele Betrekkingen,PER,2
of een beeldje op het voor- ,ORG,2
een aantal foto's kan maken rond,MISC,2
budget zou bijvoorbeeld f2500,= 4 f3500,=,MISC,2
he praised the work of Mrs,MISC,2
One is constantly amazed by the ,MISC,2
het alge- meen het wetenschapsbeleid een belangrijke zaak,MISC,2
Musée des Arts Décoratifs de Paris,LOC,2
de stop van de karaf wordt ,PER,2
dat de technische complexiteit van het,LOC,2
Another  area of great concern is cleanliness,MISC,2
exhaust rate of total air change,PER,2
de loop van de studie een,LOC,2
het bezit te zijn van een,LOC,2
tot het afleggen van de examens,MISC,2
gelijkgesteld met een getuigschrift van een ,LOC,2
en de ontwerpers van het bedrijf,MISC,2
We feel that the creative glass,MISC,2
with important contributions to the field,MISC,2
This document would report the major,MISC,2
sight in the planning of the program,MISC,2
This is especially important for us,MISC,2
™ Concert d’Ouverture Oeuvres de A. Jolivet,PER,2
to get polycolors and forms and patterns,ORG,2
blank glas of uit een ruit,MISC,2
dus alles af van een blijven- de,MISC,2
Ook het gebaar van het beeld,LOC,2
kennisneming van de naam van de inzender,PER,2
Living along the southern California coast ,MISC,2
a direct line from the tradition,MISC,2
His objects endure by their unprepossessing beauty,MISC,2
Back issues are available for $4.50 each,ORG,2
van de 17e eeuw tot heden,PER,2
at the time of the examination,MISC,2
Emerging Artist Grant from NC Arts Council,MISC,2
interested to contribute to the program,MISC,2
What is the role of the ,MISC,2
hands on tense shoulders or a ,MISC,2
exhibition of one hundred selected pieces ,MISC,2
De kunst gaf hem al de “,MISC,2
zijn de bron- nen van zijn handelen,PER,2
aan de hand van de natuurkunde boeken,PER,2
aan de huidige akademies staat de stijl- ,MISC,2
van  de materialen en waaraan de werk- ,PER,2
te praten en om de wereld ,MISC,2
ters van de een of andere,PER,2
al zijn gaven op velerlei gebied,ORG,2
directeur Museum Boymans-van Beuningen Ananasstraat 87 Drs,LOC,2
the company has been the Chair- man,ORG,2
The subtle colours of the rods,MISC,2
with his skilful handling of hot ,MISC,2
a follow up set of the planets,MISC,2
van Suhajek en door Sem Schanzer,PER,2
Frank van den Ham en Mari Meszaros,PER,2
Het glas wordt bedekt op plaatsen,MISC,2
een van de politie en een onafhankelijke,PER,2
van de grotere scherven leverde een,PER,2
gestaan van de ont- werpafdeling van Leerdam,PER,2
glascollectie van het Rijksmuseum van Oudheden te bezoeken,PER,2
dismissal of the students from the college,MISC,2
At the fifth session on Friday,MISC,2
asking questions and was very interested,MISC,2
called for a somewhat humble accommodation ,ORG,2
as two-dimensional space horizontally orientated and Pop,MISC,2
Ostrower had one sort of space,MISC,2
the third year he worked towards,MISC,2
his inde- pendence of judgement and separateness,MISC,2
truly fundamental and not to worry,MISC,2
the least that teachers could do,ORG,2
Blank glas met appliqué met dik-glas,MISC,2
travaux du  Conseil Mondial dans une Region,MISC,2
Vice-president of WCC and Representative for India,MISC,2
the mar- keting of objects of high,MISC,2
het kader van de tijdelijke bijdra- ,MISC,2
DRU  Diks & Coenen N.V.  Duwaer & Zonen,ORG,2
op de terugkeer van de mallen,MISC,2
the first year is to keep ,MISC,2
is what the first year is ,MISC,2
the methods at the Belgrade Academy,MISC,2
here is a modern and direct ,MISC,2
but which has since lost momentum,ORG,2
each of whom worked for brief periods,MISC,2
Some conflict arose and some excitement too,MISC,2
He regretted some spoke apologetically of,MISC,2
he had himself encouraged his own ,MISC,2
to draw something more than a ,MISC,2
nature by analysing it as Western ,MISC,2
were vital questions for every artist,MISC,2
may later combine both of these skills,MISC,2
Joel Philip Myers at Illinois State University,PER,2
The bus will continue to Melk,MISC,2
The bus will continue to Krummnussbaum,MISC,2
You will continue to your hotel,MISC,2
thans aan de slag te gaan,ORG,2
zijn van een lijstje van ingezonden,PER,2
frans van nieuwenborg bruno ninaber van eyben,PER,2
jan van leeuwen bruno ninaber van eyben,PER,2
jan oosterman nikolaas van os henny radijs,PER,2
theo daamen mariétte van de linden,PER,2
zomertentoonstelling met werk van 20 kunstenaars,PER,2
hermian sneyders de vogel chris steenbergen,PER,2
madja van dam maria van kesteren,PER,2
onno boekhoudt francoise van den bosch,PER,2
marion herbst hans van der heijden,PER,2
jan van leeuwen jan van stekelenburg ,PER,2
dat de lengte uit de fabrikage- ,LOC,2
De op de kaart voor strand,MISC,2
with the Nybro Skolan at Orrefors,MISC,2
gelegenheid van de opening van de  ,PER,2
symboliek is de vaststelling dat Mechelen,MISC,2
blijkt alleen al uit de deelnemersaantallen,ORG,2
Aan deelname van de Straatspeeldag zijn,PER,2
zijn vergadering van 27 januari 1994,MISC,2
Bert de Jong en Jan Rigter,PER,2
but I thought the bubbling action,MISC,2
You should be careful of cords,MISC,2
but you'd have a different effect,PER,2
Did you notice at my place,PER,2
Deja de premieres mesures ont été prises,PER,2
propositions pour la célébration du Jour,ORG,2
al van kindsbeen af dingen van draden,PER,2
Graduated from the Academy of Fine Arts,MISC,2
de geschiedenis van het glas uitbeeldt,MISC,2
Aishah happy to have us around,MISC,2
but not more than one class,MISC,2
consists of the first three years of,PER,2
Instead of a catchbox a special,ORG,2
dat bij de glas-versiering de aestheti- ,PER,2
hoewel geheel met de hand gemaakt,MISC,2
een detail van een monumentaal glasraam ,PER,2
meer is dan alleen een schoolkrant,LOC,2
juist op dat ogenblik van vervuld is,MISC,2
binnen de grenzen van zijn vak,PER,2
you don't want the lime over,MISC,2
whether it's a reduced iron or,ORG,2
wordt hierdoor een verlaging van de kost- ,PER,2
maar meer nog bij de modernisering van ,LOC,2
and the International Council of Museums nominated,MISC,2
aan de kunstenaars behoudens het bepaalde,LOC,2
FODOR met inwarmoven-project Lena en Jesper ,MISC,2
But you usually thing of spar,MISC,2
Calcium carbonate can be ground marble,ORG,2
van de vorm werd de schaal bijgeslepen,PER,2
The membership of the selection panel,MISC,2
writing  and dispatched within the times aforesaid,MISC,2
aldus door de testatrice aan mij,LOC,2
must be grounds for thinking twice ,PER,2
supported for a time by parents,MISC,2
he cited the three or four,MISC,2
He thought that the danger of,MISC,2
asdin the area of melting cullet,PER,2
the foyer of the Gerrit Rietveld Academie,MISC,2
oil on canvas and  Pine Cone Rug,MISC,2
Hansen Timothy Harris  Beverly Hempleman Lloyd Herman  Judy Hill  Jean Johnston  ,PER,2
Dorothy C. Smith Bobbie & Michael Stern ,PER,2
Singapore for the first time next week,MISC,2
collections du Musée des Arts Décoratifs,LOC,2
met een ongebreidelde fantasie met glas “,LOC,2
dat de benamingen van de studierichtingen,PER,2
wordt bijzonder veel van de student,PER,2
independent of sub- ject matter or traditional,MISC,2
the design and pricing of a product,MISC,2
The May issue of the magazine,MISC,2
Italy in the sum- mer of 1965,MISC,2
the strength and vitality of the handloom,MISC,2
de komende twee jar met de organisaties,LOC,2
To help with the speedy and ,MISC,2
If you are applying for scholarship assistance,MISC,2
If you wish to be consid- ,MISC,2
arrow indicating the top of the image,MISC,2
waar hij nauw met Harvey Littleton ,PER,2
nauwelijks van lange duur zal zijn,PER,2
komt de werkgroep tot de konklusie,PER,2
journées se fera de la fagon,ORG,2
daarbij staat hem ook het fe- ,MISC,2
Greg Dietrich Kevin DuBois Benjamin Edols Roberta Eichenberg Erwin Eisch,PER,2
Douglass Raff  Tom & Sally Reeve  John Reynolds,PER,2
daardoor de eigen= schappen van het glas,LOC,2
The best of them will be kept,MISC,2
designed by W.Stanier and made by C.D,LOC,2
kennis van de mogelijkheden van de ,PER,2
Director of WCC and Representative for Liberia,MISC,2
Lieberman Jeff Seely Marvin Lipofsky Beverly Soja ,PER,2
for the year ending May 31,MISC,2
J.H.’en en de huisregels na te,MISC,2
Glasses and Glass Ceramics from Gels,MISC,2
unique pieces and flat glass compositions,MISC,2
by mistake and colored with a,MISC,2
but most of the glasses that,MISC,2
J. L. Instituto de Ceramica y Vidrio,PER,2
worth the hardship of squeezing 70,ORG,2
gevolg van de Wereldtentoon- stelling van 1851,PER,2
een nieuwe opbloei van de versierende,ORG,2
hoofdstuk I-R van het Rechtspositiebesluit W.V.O.,MISC,2
Groninger Museum voor Stad en Lande,LOC,2
It wants to sweep out bubbles,MISC,2
Daarbij komt beoefening van elementaire compositiewaarden op,PER,2
kasteel van de Heren van Leerdam,PER,2
Chairmen of the U.K. National Committee,ORG,2
The blow didn't mean a thing,MISC,2
tijdens de waarneming door Arjan Muylwijk,LOC,2
Bernardine de Neeve van Museum Boymans ,LOC,2
The Leigh Yawkey Woodson Art Museum,ORG,2
dans les revues et les colloques internationnaux,LOC,2
la fer- meture de ses deux verreries,MISC,2
II est alors facile de comprendre pourquoi,MISC,2
au-dela du plaisir physique de voir travailler,PER,2
autour de la méme piéce avec,PER,2
pour se rendre en groupe a,ORG,2
une réflexion trés libre sur leur travail,PER,2
E.W. Nash Susan Steinhauser & Dan Greenberg,PER,2
Anne Gould Hauberg  C. David Hughbanks Christina Lockwood  ,PER,2
en bij de door de firma,LOC,2
Deelnemers aan de prijsvraag hebben het,MISC,2
mede aan de hand van de,PER,2
can be used as the reduction,ORG,2
private Company manufactures and markets top ,ORG,2
bestaat uit een dubbele laag los ,LOC,2
op de constructie van de puien  ,MISC,2
na een speelse speech van Pierre Janssen,ORG,2
as a college of the arts,ORG,2
organized from May 20-May 22 1982,MISC,2
our traditional glass town of Frauenau,MISC,2
the ancient value of glass making ,MISC,2
countries and five continents gathered here,ORG,2
a meeting of this kind is,MISC,2
zijn of haar waarde en betekenis,LOC,2
to make marks on a surface,MISC,2
the US and Canada on large,MISC,2
The pyrometric cones are the device,ORG,2
deel van de kosten en het over,PER,2
James H. W. Thompson of Bangkok,PER,2
Visiting artists complement the studio for,MISC,2
glass and metals are eight weeks ,MISC,2
and the tragic aspect is that they,MISC,2
many areas of Africa and Asia ,LOC,2
Setting the tone of the meetings,MISC,2
asked to formulate a basic question- ,MISC,2
hij begin dat jaar heeft ontworpen,ORG,2
aan de Kijkdag van heden en,LOC,2
gegeven van de voorbehandeling van te,PER,2
BFA from the Center for Creative Studies,MISC,2
Jane Osbourne Smith et all have wisely,PER,2
lately been compared unfavourably with British Ceramics,PER,2
or is it a question of a,MISC,2
countries and areas of the world,MISC,2
except in the case of check- ed,MISC,2
all members of the Pilchuck community—the instructors,MISC,2
cedar shake roofs and natural materials,PER,2
You will find the con- tributors listed,MISC,2
na het beéindigen van de studie,ORG,2
bibliotheek en zelfs van docenten en werkplaatsassisten- ,LOC,2
het rapport voor een studiejaar van 12,MISC,2
gelimiteerde oplaag door de Glasfabriek Leerdam ,LOC,2
La Mariée mise a nu par,MISC,2
The Bride Stripped Bare by Her Bachelors,MISC,2
ce fut celle du travail partagé,MISC,2
karakter van de verweringsverschijnselen is het ,PER,2
tentoonstelling 7 mei t/m 28 mei,MISC,2
nog meer het industriéle patroon van onze,ORG,2
ik ook benoemd op het Instituut,ORG,2
The University of Wisconsin - Madison,ORG,2
op de grens van water en land,PER,2
The sculptural possibilities of blown and flat,ORG,2
Vrij Glas’ heette de museumexopisitie van,MISC,2
overeen met de in de sche- ,PER,2
narry uptelaak op de Rijks Aca- ,PER,2
wij ontvingen van klanten en collega,ORG,2
een indruk van het blad en een,PER,2
Na de schorsing zijn tal van ,LOC,2
van de werkgroep deel te nemen,PER,2
Pas 65+ en CUP f 22,50,MISC,2
Notulen van de vergadering van 23,PER,2
dan bij het systeem van blazen,ORG,2
and a communica- tions center for glass,MISC,2
session one is for experienced students,MISC,2
for many classes fill almost immediately,MISC,2
we will not reserve a place ,LOC,2
one particular medium to meet each,MISC,2
the planning of the glass program,MISC,2
glass art and design throughout the world,LOC,2
The glass program made a particularly,MISC,2
de inzending van de verpakkingen kan ,MISC,2
The aim of the Sars-Poteries Summer,MISC,2
de vitrine van het ministerie van CRM,MISC,2
We will work on kiln construction,MISC,2
van oud-studenten van de Akademies van Beeldende ,PER,2
tapestries are transparent and very static,ORG,2
Op de ondergrond van zwart of rood,PER,2
loondienst of werkt u voor u,ORG,2
van kunstenaars uit de regio Gooi,PER,2
maintenue du 12 au 15 septembre,LOC,2
by Patterson Sims and Tina Oldknow,PER,2
Tot en met 20 g 10,MISC,2
on National Fulbright Screening Committee on Design,MISC,2
Secretary of the Department of the Interior,ORG,2
Craft Horizons and Museum of Contemporary Crafts,ORG,2
biedt de Postbank ook de PostbankCard,PER,2
het gebouw van het ministerie van CRM,MISC,2
Terwijl bij de stoel naar een ,MISC,2
the United Nations Declaration of Human Rights,MISC,2
Is the time not ripe for,MISC,2
sponsored by the Mexican Government and UNESCO,MISC,2
art school and museum directors and young,ORG,2
the leadership of the World Crafts Council,MISC,2
lijst naar  de juffrouw van de administratie,MISC,2
deze van Fiat of van Mantagno,PER,2
décor d'ocelles d'émaux brique et brun,PER,2
de persoonlijkheid van de kunstenaar—die door zijn,PER,2
voor van de Meester van Aix,PER,2
De maximale werking van dit soort,MISC,2
The development of a 2 and 4,MISC,2
A survey of Ontario fabricating industries to ,LOC,2
One of the more successful U.S. ,MISC,2
the rooms of the English Speaking Union,MISC,2
Reden van wijziging  Betrekking  Aard van het dienstverband,PER,2
and the lime can be a,ORG,2
extremely low liquidous temperature and it's,PER,2
the Dutch and some people at Columbia,MISC,2
conservatrice van het museum Boymans van Beuningen,PER,2
aangevuld met het werk van Sam Herman,PER,2
van de pioniers van de 'beweging'  ,PER,2
aangevuld met de eerste werkstukken van  mijn,PER,2
B. van Wijk en M. Zaalberg,PER,2
it to make it a little ,MISC,2
your own little furnace since May,ORG,2
The cullet pile is a little,MISC,2
La renommée du Centre s'est étendue,LOC,2
déposées a leurs Consulats & New York,PER,2
